Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-7.9,0,0
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-7.9,7.36,2.226
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-7.5,15.126,11.749
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-7.1,10.622,8.343
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-7,16.479,14.29
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-6.9,12.311,8.623
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-6.8,17.289,14.684
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-6.6,15.872,11.626
6XVK_protein_(-)-Epicatechin_uff_E=231.04,-6.6,17.286,15.33
6XVK_protein_Decursin_uff_E=279.39,-8,0,0
6XVK_protein_Decursin_uff_E=279.39,-8,2.277,1.295
6XVK_protein_Decursin_uff_E=279.39,-7.8,19.287,17.397
6XVK_protein_Decursin_uff_E=279.39,-7.7,3.625,2.036
6XVK_protein_Decursin_uff_E=279.39,-7.6,3.879,2.191
6XVK_protein_Decursin_uff_E=279.39,-7.2,19.433,18.135
6XVK_protein_Decursin_uff_E=279.39,-7.2,20.074,17.912
6XVK_protein_Decursin_uff_E=279.39,-7,11.177,9.523
6XVK_protein_Decursin_uff_E=279.39,-7,12.729,10.111
6XVK_protein_Tanshinone_uff_E=413.07,-7.9,0,0
6XVK_protein_Tanshinone_uff_E=413.07,-7.7,12.15,9.707
6XVK_protein_Tanshinone_uff_E=413.07,-7.6,31.696,31.355
6XVK_protein_Tanshinone_uff_E=413.07,-7.5,30.991,30.835
6XVK_protein_Tanshinone_uff_E=413.07,-7.4,12.195,9.766
6XVK_protein_Tanshinone_uff_E=413.07,-7.2,18.642,15.276
6XVK_protein_Tanshinone_uff_E=413.07,-7.1,19.068,16.547
6XVK_protein_Tanshinone_uff_E=413.07,-7,8.376,6.174
6XVK_protein_Tanshinone_uff_E=413.07,-6.9,18.622,16.764
6XVK_protein_apigenin_uff_E=233.26,-10.3,0,0
6XVK_protein_apigenin_uff_E=233.26,-10.1,7.451,1.681
6XVK_protein_apigenin_uff_E=233.26,-8.4,4.935,2.642
6XVK_protein_apigenin_uff_E=233.26,-7.8,8.836,3.25
6XVK_protein_apigenin_uff_E=233.26,-7.7,8.9,3.384
6XVK_protein_apigenin_uff_E=233.26,-7.4,15.213,13.182
6XVK_protein_apigenin_uff_E=233.26,-7.3,12.682,9.537
6XVK_protein_axitinib_uff_E=525.88,-9.6,0,0
6XVK_protein_axitinib_uff_E=525.88,-9.4,2.552,1.843
6XVK_protein_axitinib_uff_E=525.88,-9.4,2.866,2.007
6XVK_protein_axitinib_uff_E=525.88,-8.9,3.619,2.555
6XVK_protein_axitinib_uff_E=525.88,-8.9,2.56,1.443
6XVK_protein_axitinib_uff_E=525.88,-8.7,7.127,3.967
6XVK_protein_axitinib_uff_E=525.88,-8.5,5.969,4.199
6XVK_protein_axitinib_uff_E=525.88,-8.5,16.71,14.181
6XVK_protein_axitinib_uff_E=525.88,-8.3,6.801,4.014
6XVK_protein_diosmetin_uff_E=324.34,-8.6,0,0
6XVK_protein_diosmetin_uff_E=324.34,-7.6,12.356,9.403
6XVK_protein_diosmetin_uff_E=324.34,-7.5,17.302,14.641
6XVK_protein_diosmetin_uff_E=324.34,-7.4,17.432,15.712
6XVK_protein_diosmetin_uff_E=324.34,-7.1,7.381,1.717
6XVK_protein_diosmetin_uff_E=324.34,-7,17.126,13.209
6XVK_protein_diosmetin_uff_E=324.34,-6.9,16.661,13.659
6XVK_protein_diosmetin_uff_E=324.34,-6.8,12.449,10.171
6XVK_protein_diosmetin_uff_E=324.34,-6.6,18.301,14.951
6XVK_protein_gallic_acid__uff_E=77.81,-6.3,0,0
6XVK_protein_gallic_acid__uff_E=77.81,-6.2,2.405,0.033
6XVK_protein_gallic_acid__uff_E=77.81,-6.2,4.197,1.5
6XVK_protein_gallic_acid__uff_E=77.81,-6.2,4.664,1.51
6XVK_protein_gallic_acid__uff_E=77.81,-5.9,6.082,3.04
6XVK_protein_gallic_acid__uff_E=77.81,-5.7,4.785,2.841
6XVK_protein_gallic_acid__uff_E=77.81,-5.6,4.008,2.356
6XVK_protein_gallic_acid__uff_E=77.81,-5.4,10.713,8.815
6XVK_protein_gallic_acid__uff_E=77.81,-5.4,16.761,15.186
6XVK_protein_isoliquiritigenin_uff_E=312.85,-9.1,0,0
6XVK_protein_isoliquiritigenin_uff_E=312.85,-8.6,2.202,1.335
6XVK_protein_isoliquiritigenin_uff_E=312.85,-7.4,7.61,4.301
6XVK_protein_isoliquiritigenin_uff_E=312.85,-7.1,5.648,3.44
6XVK_protein_isoliquiritigenin_uff_E=312.85,-7.1,16.242,14.244
6XVK_protein_isoliquiritigenin_uff_E=312.85,-7,6.769,3.862
6XVK_protein_isoliquiritigenin_uff_E=312.85,-6.7,16.499,14.369
6XVK_protein_isoliquiritigenin_uff_E=312.85,-6.5,16.614,15.005
6XVK_protein_isoliquiritigenin_uff_E=312.85,-6.4,15.067,10.752
6XVK_protein_luteolin_uff_E=242.10,-10.3,0,0
6XVK_protein_luteolin_uff_E=242.10,-10,7.482,1.458
6XVK_protein_luteolin_uff_E=242.10,-8.5,4.819,2.495
6XVK_protein_luteolin_uff_E=242.10,-8.4,8.737,3.155
6XVK_protein_luteolin_uff_E=242.10,-8.2,8.716,3.1
6XVK_protein_luteolin_uff_E=242.10,-7.5,33.321,31.262
6XVK_protein_luteolin_uff_E=242.10,-7.5,12.163,10.286
6XVK_protein_luteolin_uff_E=242.10,-7.4,13.285,10.072
6XVK_protein_luteolin_uff_E=242.10,-7.3,15.035,13.694
6XVK_protein_quercetin_uff_E=379.98,-9.7,0,0
6XVK_protein_quercetin_uff_E=379.98,-8.5,6.793,1.43
6XVK_protein_quercetin_uff_E=379.98,-7.7,13.392,9.694
6XVK_protein_quercetin_uff_E=379.98,-7.6,11.953,9.223
6XVK_protein_quercetin_uff_E=379.98,-7.6,15.952,14.149
6XVK_protein_quercetin_uff_E=379.98,-7.5,13.779,11.001
6XVK_protein_quercetin_uff_E=379.98,-7.3,15.977,14.463
6XVK_protein_quercetin_uff_E=379.98,-7.1,15.652,12.644
6XVK_protein_quercetin_uff_E=379.98,-7.1,13.054,10.753
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.8,0,0
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.6,7.304,3.162
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.5,2.412,1.812
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.2,7.679,5.908
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.2,8.21,4.551
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.2,17.925,14.39
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.1,16.59,13.852
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7.1,16.54,14.535
6XVK_protein_rosmarinic_acid_uff_E=213.18,-7,17.509,15.413
6XVK_protein_sunitinib__uff_E=824.77,-8.3,0,0
6XVK_protein_sunitinib__uff_E=824.77,-8.1,2.345,1.568
6XVK_protein_sunitinib__uff_E=824.77,-8,19.603,17.757
6XVK_protein_sunitinib__uff_E=824.77,-7.9,19.592,17.562
6XVK_protein_sunitinib__uff_E=824.77,-7.6,5.591,3.917
6XVK_protein_sunitinib__uff_E=824.77,-7.5,20.562,15.492
6XVK_protein_sunitinib__uff_E=824.77,-7.4,5.937,3.729
6XVK_protein_sunitinib__uff_E=824.77,-7.4,19.431,17.174
6XVK_protein_sunitinib__uff_E=824.77,-7.4,21.051,15.959
6XVK_protein_turmerone_uff_E=144.16,-8.7,0,0
6XVK_protein_turmerone_uff_E=144.16,-8.4,2.313,1.564
6XVK_protein_turmerone_uff_E=144.16,-8.3,7.007,1.649
6XVK_protein_turmerone_uff_E=144.16,-8.1,2.344,1.499
6XVK_protein_turmerone_uff_E=144.16,-8,3.048,1.731
6XVK_protein_turmerone_uff_E=144.16,-7.8,7.441,2.639
6XVK_protein_turmerone_uff_E=144.16,-7.3,5.336,2.858
6XVK_protein_turmerone_uff_E=144.16,-7.2,8.978,4.132
6XVK_protein_turmerone_uff_E=144.16,-7.1,9.052,3.961
6XVK_protein_rosmarinic_acid,-7.8,0,0
6XVK_protein_rosmarinic_acid,-7.3,7.042,3.755
6XVK_protein_rosmarinic_acid,-7.3,16.648,14.792
6XVK_protein_rosmarinic_acid,-7.2,16.307,14.37
6XVK_protein_rosmarinic_acid,-6.9,9.077,2.266
6XVK_protein_rosmarinic_acid,-6.9,7.566,1.984
6XVK_protein_rosmarinic_acid,-6.8,8.729,4.687
6XVK_protein_rosmarinic_acid,-6.8,7.508,4.495
6XVK_protein_rosmarinic_acid,-6.8,15.587,14.142
